Train_Accuracy,Test_Accuracy,Train_AUC,Test_AUC,Test_Sensitivity,Test_Precision,Test_F1,Model,Train_Time_sec
0.9227356587814068,0.915602182648259,0.8593290627455717,0.8269351473876163,0.04219178082191781,0.6,0.078839590443686,Random Forest,11.62
0.7421316781062869,0.741428102378086,0.8294776029060147,0.826646547984556,0.7651141552511416,0.21547245512062135,0.33624979932573446,Logistic Regression,0.57
0.8462765208961991,0.8458856454916431,0.8003634762498275,0.797699568300927,0.45223744292237444,0.2652667666595243,0.3343912485650618,Naive Bayes,0.11
0.3014079332072109,0.30392907956659737,0.5566290010358068,0.558902548064506,0.771324200913242,0.08892211155797941,0.15946078616470943,SVM (Linear),96.16
